scenario,hand,raise,call,fold,best,confidence
RFI_SB,K5o,0.5270049099836334,0.47299509001636664,0.0,raise,0.5270049099836334
RFI_SB,52s,0.47100271002710026,0.5289972899728997,0.0,call,0.5289972899728997
RFI_SB,T5s,0.5346534653465347,0.46534653465346537,0.0,raise,0.5346534653465347
RFI_SB,K6o,0.46312201772324474,0.5368779822767553,0.0,call,0.5368779822767553
RFI_SB,87s,0.46215301286391336,0.5378469871360867,0.0,call,0.5378469871360867
RFI_SB,QQ,0.5462975589799536,0.45370244102004637,0.0,raise,0.5462975589799536
RFI_SB,K8s,0.553967605825507,0.446032394174493,0.0,raise,0.553967605825507
RFI_SB,ATo,0.44514536478332417,0.5548546352166758,0.0,call,0.5548546352166758
RFI_SB,KJo,0.4422055820285909,0.5577944179714092,0.0,call,0.5577944179714092
RFI_SB,95s,0.4257197175448126,0.5742802824551874,0.0,call,0.5742802824551874
RFI_SB,T7o,0.5861549006168608,0.4138450993831391,0.0,raise,0.5861549006168608
RFI_SB,J7o,0.41265754167231333,0.5873424583276867,0.0,call,0.5873424583276867
RFI_SB,KQo,0.4123456790123457,0.5876543209876544,0.0,call,0.5876543209876544
RFI_SB,AKs,0.4024643499930777,0.5975356500069223,0.0,call,0.5975356500069223
RFI_SB,AQs,0.40160865344612395,0.598391346553876,0.0,call,0.598391346553876
RFI_SB,Q8o,0.3856361149110807,0.6143638850889193,0.0,call,0.6143638850889193
RFI_SB,64o,0.0,0.6171232876712329,0.38287671232876713,call,0.6171232876712329
RFI_SB,Q9s,0.6216621253405995,0.37833787465940055,0.0,raise,0.6216621253405995
RFI_SB,33,0.37473060344827586,0.6252693965517241,0.0,call,0.6252693965517241
RFI_SB,AJo,0.3739882013993689,0.626011798600631,0.0,call,0.626011798600631
RFI_SB,K9o,0.37295528898582336,0.6270447110141767,0.0,call,0.6270447110141767
RFI_SB,97o,0.36975132490827556,0.6302486750917244,0.0,call,0.6302486750917244
RFI_SB,TT,0.36524581233828135,0.6347541876617186,0.0,call,0.6347541876617186
RFI_SB,93s,0.36387044314947825,0.6361295568505217,0.0,call,0.6361295568505217
RFI_SB,Q6o,0.33989608969100354,0.6601039103089964,0.0,call,0.6601039103089964
RFI_SB,84s,0.33315217391304347,0.6668478260869565,0.0,call,0.6668478260869565
RFI_SB,K8o,0.33183183183183185,0.6681681681681682,0.0,call,0.6681681681681682
RFI_SB,AKo,0.33066850447966917,0.6693314955203308,0.0,call,0.6693314955203308
RFI_SB,KTs,0.32963571624212545,0.6703642837578746,0.0,call,0.6703642837578746
RFI_SB,87o,0.3280782821418864,0.6719217178581136,0.0,call,0.6719217178581136
RFI_SB,63s,0.6728135593220339,0.3271864406779661,0.0,raise,0.6728135593220339
RFI_SB,T8s,0.680931744312026,0.319068255687974,0.0,raise,0.680931744312026
RFI_SB,QJo,0.31339614911921343,0.6866038508807866,0.0,call,0.6866038508807866
RFI_SB,75s,0.30830735872069387,0.6916926412793062,0.0,call,0.6916926412793062
RFI_SB,J2s,0.30715059588299026,0.6928494041170098,0.0,call,0.6928494041170098
RFI_SB,J8o,0.3035035306898425,0.6964964693101575,0.0,call,0.6964964693101575
RFI_SB,A8o,0.30217211987902115,0.6978278801209788,0.0,call,0.6978278801209788
RFI_SB,Q5o,0.29947987955105393,0.7005201204489461,0.0,call,0.7005201204489461
RFI_SB,J3s,0.2937195452084461,0.7062804547915539,0.0,call,0.7062804547915539
RFI_SB,AJs,0.28835031671715783,0.7116496832828422,0.0,call,0.7116496832828422
RFI_SB,54s,0.7116639477977161,0.28833605220228387,0.0,raise,0.7116639477977161
RFI_SB,98o,0.2662037037037037,0.7337962962962963,0.0,call,0.7337962962962963
RFI_SB,J2o,0.0,0.735090340986279,0.264909659013721,call,0.735090340986279
RFI_SB,K9s,0.2606866603338309,0.7393133396661691,0.0,call,0.7393133396661691
RFI_SB,T4s,0.7450900717865366,0.25490992821346337,0.0,raise,0.7450900717865366
RFI_SB,QTo,0.2531126009029963,0.7468873990970037,0.0,call,0.7468873990970037
RFI_SB,T2s,0.2510851871947911,0.7489148128052089,0.0,call,0.7489148128052089
RFI_SB,QTs,0.7495180391076839,0.25048196089231617,0.0,raise,0.7495180391076839
RFI_SB,Q4s,0.2466220827077931,0.7533779172922069,0.0,call,0.7533779172922069
RFI_SB,43s,0.24575926177228932,0.7542407382277106,0.0,call,0.7542407382277106
RFI_SB,KTo,0.24530100789975484,0.7546989921002452,0.0,call,0.7546989921002452
RFI_SB,76s,0.24310297732859876,0.7568970226714012,0.0,call,0.7568970226714012
RFI_SB,A9o,0.23989551828430025,0.7601044817156998,0.0,call,0.7601044817156998
RFI_SB,T3o,0.0,0.2395776193088316,0.7604223806911684,fold,0.7604223806911684
RFI_SB,77,0.23567393058918482,0.7643260694108152,0.0,call,0.7643260694108152
RFI_SB,QJs,0.7685500340367597,0.2314499659632403,0.0,raise,0.7685500340367597
RFI_SB,65s,0.7777024277770243,0.22229757222297572,0.0,raise,0.7777024277770243
RFI_SB,96s,0.2051106859797759,0.7948893140202241,0.0,call,0.7948893140202241
RFI_SB,A4o,0.20223017621145375,0.7977698237885462,0.0,call,0.7977698237885462
RFI_SB,A3o,0.19458568091246392,0.805414319087536,0.0,call,0.805414319087536
RFI_SB,T8o,0.19065934065934065,0.8093406593406594,0.0,call,0.8093406593406594
RFI_SB,85s,0.17580776540863427,0.8241922345913657,0.0,call,0.8241922345913657
RFI_SB,44,0.17027319448201245,0.8297268055179876,0.0,call,0.8297268055179876
RFI_SB,KK,0.8349619978284474,0.16503800217155265,0.0,raise,0.8349619978284474
RFI_SB,94s,0.8419622231281424,0.15803777687185758,0.0,raise,0.8419622231281424
RFI_SB,K7s,0.8446285481461361,0.15537145185386392,0.0,raise,0.8446285481461361
RFI_SB,AQo,0.1442001935573068,0.8557998064426933,0.0,call,0.8557998064426933
RFI_SB,A5o,0.13552559163456246,0.8644744083654375,0.0,call,0.8644744083654375
RFI_SB,A5s,0.8655067660867164,0.13449323391328363,0.0,raise,0.8655067660867164
RFI_SB,88,0.1314262582647416,0.8685737417352584,0.0,call,0.8685737417352584
RFI_SB,J9o,0.12170605813637599,0.878293941863624,0.0,call,0.878293941863624
RFI_SB,A6s,0.11934270992897925,0.8806572900710208,0.0,call,0.8806572900710208
RFI_SB,53s,0.09727309727309727,0.9027269027269027,0.0,call,0.9027269027269027
RFI_SB,K6s,0.08776266996291718,0.9122373300370828,0.0,call,0.9122373300370828
RFI_SB,J4s,0.07738095238095238,0.9226190476190477,0.0,call,0.9226190476190477
